#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-01-09T21:16:39 [V7.4.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-01-09T21:16:39	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=J/ApJ/772/82/table1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJ/772/82/table1&-out=VMag&-out=e_VMag&-out=Ngc&-out=e_Ngc&-out=sigma&-out=e_sigma&-out=logMd&-out=logMB&-out=E_logMB&-out=e_logMB&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17720082
#Name: J/ApJ/772/82
#Title: A catalog of globular cluster systems (Harris+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/apj/772/82	    IVOID of underlying data collection
#INFO	creator=Harris W.E.	    First author or institution
#INFO	cites=bibcode:2013ApJ...772...82H	    Article or Data origin sources
#INFO	editor=Astrophysical Journal (AAS)	    Editor name (article)
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/772/82	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17720082	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-11-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_772_82_table1:
#Name: J/ApJ/772/82/table1
#Title: Globular cluster systems
#Column	VMag	(F7.3)	[-25/-11]? Absolute visual magnitude (1)	[ucd=phys.magAbs;em.opt.V]
#Column	e_VMag	(F6.3)	[0.2/1.5]? Uncertainty in VMag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	Ngc	(F7.1)	[0/32500] Number of Globular Clusters (N_GC_)	[ucd=meta.number]
#Column	e_Ngc	(F7.1)	[0/20000] Uncertainty in Ngc	[ucd=stat.error]
#Column	sigma	(F5.1)	[10/414]? Stellar velocity dispersion (3)	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(F4.1)	? Uncertainty in sigma	[ucd=stat.error]
#Column	logMd	(F6.3)	[7.6/12.8]? Log of dynamical mass	[ucd=phys.mass]
#Column	logMB	(F5.2)	? Log of central supermassive black hole mass (6)	[ucd=phys.mass]
#Column	E_logMB	(F5.2)	? Upper uncertainty in logMB	[ucd=stat.error;stat.max]
#Column	e_logMB	(F5.2)	? Lower uncertainty in logMB	[ucd=stat.error]
VMag;e_VMag;Ngc;e_Ngc;sigma;e_sigma;logMd;logMB;E_logMB;e_logMB
-16.720; 0.200;   49.7;    8.6; 28.6; 3.1; 8.845;     ;     ;
-17.970; 0.200;   24.9;    6.0; 34.4; 3.8; 9.221;     ;     ;
-17.390; 0.200;   60.6;    9.3;     ;    ;      ;     ;     ;
-16.860; 0.200;   26.7;    6.8;     ;    ;      ;     ;     ;
-19.520; 0.330;  270.0;   60.0;     ;    ;      ;     ;     ;
-18.790; 0.200;   81.0;   10.0; 86.0; 2.9; 9.762;     ;     ;
-16.780; 0.200;    7.3;    4.2; 28.9; 1.4; 8.848;     ;     ;
-15.610; 0.200;   11.7;    4.8;     ;    ;      ;     ;     ;
-16.010; 0.200;    5.8;    5.4;     ;    ;      ;     ;     ;
-16.530; 0.200;   19.0;    6.6;     ;    ;      ;     ;     ;
-16.250; 0.200;    4.7;    3.8;     ;    ;      ;     ;     ;
-16.570; 0.200;    2.1;    2.9; 46.0; 7.0; 9.626;     ;     ;
-17.160; 0.200;   40.7;    7.6;     ;    ;      ;     ;     ;
-13.370; 0.200;    7.6;    4.9;     ;    ;      ;     ;     ;
-21.510; 0.220;  388.0;  117.0;251.1;16.1;11.061; 0.00; 8.48; 0.00
-19.080; 0.200;   31.4;    7.2;116.8; 7.1;10.001;     ;     ;
-16.050; 0.200;   31.0;    7.0;     ;    ;      ;     ;     ;
-16.910; 0.200;   54.2;    8.8;     ;    ;      ;     ;     ;
-15.890; 0.200;   14.6;    5.9; 26.0; 1.3; 8.765;     ;     ;
-17.100; 0.200;   26.0;   10.0;     ;    ;      ;     ;     ;
-19.390; 0.200;   84.0;   19.0; 96.4; 4.2;10.088;     ;     ;
-16.460; 0.200;    3.6;    3.7;     ;    ;      ;     ;     ;
-19.150; 0.200;   47.0;   11.0;106.8; 2.2;10.120;     ;     ;
-20.390; 0.200; 1100.0;  200.0;252.5; 3.3;11.342; 8.68; 0.04; 0.05
-21.680; 0.270;  204.0;   60.0;136.0; 6.3;11.100;     ;     ;
-15.810; 0.200;   10.2;    4.7;     ;    ;      ;     ;     ;
-20.000; 0.200;  213.0;   31.0;162.0; 8.0;10.638; 7.92; 0.10; 0.14
-20.340; 0.200;  139.0;   23.0;187.9; 8.5;10.801;     ;     ;
-17.490; 0.200;   14.4;    5.7;     ;    ;      ;     ;     ;
-21.070; 0.280; 1052.0;  162.0;224.1; 5.3;11.284;     ;     ;
-13.200; 0.200;    0.0;    4.5;     ;    ;      ;     ;     ;
-19.620; 0.200;   62.0;   13.0;120.3; 9.6;10.519;     ;     ;
-16.330; 0.200;    9.8;    6.4; 27.0;11.0; 9.084;     ;     ;
-16.900; 0.200;    2.1;    3.7;     ;    ;      ;     ;     ;
-18.410; 0.200;   22.0;    7.0;     ;    ;      ;     ;     ;
-22.120; 0.200; 1900.0;  200.0;240.0;12.0;11.262; 8.72; 0.30; 0.57
-16.030; 0.200;    4.5;    3.9; 22.3; 2.2; 8.443;     ;     ;
-16.780; 0.200;   20.4;    5.8;     ;    ;      ;     ;     ;
-17.130; 0.200;   18.1;    5.5;     ;    ;      ;     ;     ;
-21.000; 0.200; 2700.0;  780.0;183.0;28.9;10.565;     ;     ;
-16.640; 0.200;   10.8;    5.9;     ;    ;      ;     ;     ;
-17.600; 0.200;   37.6;    7.4;     ;    ;      ;     ;     ;
-17.310; 0.200;   10.4;    5.0; 49.0; 2.9; 9.088;     ;     ;
-16.800; 0.200;   25.9;    7.4; 26.7; 1.3; 8.964;     ;     ;
-21.120; 0.200;   83.0;   25.0; 62.6; 2.7; 9.924;     ;     ;
-16.250; 0.200;    3.9;    2.6;     ;    ;      ;     ;     ;
-16.600; 0.200;    6.3;    4.3;     ;    ;      ;     ;     ;
-21.340; 0.200;  803.0;  355.0;225.1; 3.2;11.333; 8.60; 0.06; 0.07
-17.390; 0.200;   48.7;    8.4;     ;    ;      ;     ;     ;
-19.940; 0.200;   71.0;   14.0; 85.6;15.1;10.169;     ;     ;
-20.100; 0.200;   59.8;    9.2;121.9; 4.0;10.374;     ;     ;
-21.430; 0.200; 4200.0;  120.0;203.1; 3.5;11.411; 0.00; 8.80; 0.00
-16.060; 0.200;    2.5;    3.0;     ;    ;      ;     ;     ;
-22.410; 0.200; 4000.0;  500.0;385.0;19.0;11.992; 9.63; 0.09; 0.11
-19.740; 0.200;  205.0;   28.0;188.5; 3.4;10.548;     ;     ;
-17.360; 0.200;   23.9;    6.1; 37.0; 7.0; 9.281;     ;     ;
-21.280; 0.200;  750.0;  290.0;231.7; 5.2;      ;     ;     ;
-17.850; 0.200;   17.2;    5.4; 62.2;11.7; 9.678;     ;     ;
-16.360; 0.200;    9.2;    4.3; 43.0; 5.0; 9.306;     ;     ;
-21.270; 0.200;  229.0;   70.0;177.0; 8.0;11.087; 8.28; 0.08; 0.10
-20.530; 0.200;  110.0;   12.0;186.4; 3.2;10.864;     ;     ;
-21.700; 0.240;  240.0;   25.0;147.1;10.3;11.323;     ;     ;
-22.250; 0.350; 6100.0; 1400.0;244.5; 8.1;11.779;     ;     ;
-23.700; 0.200;17700.0; 4600.0;     ;    ;      ;     ;     ;
-23.160; 0.200; 6500.0; 2000.0;284.8; 4.7;12.165;     ;     ;
-21.120; 0.280; 1290.0;  620.0;238.1; 6.1;11.204;     ;     ;
-20.990; 0.200;  880.0;  330.0;208.0; 4.5;11.092;     ;     ;
-20.880; 0.200; 2150.0;  650.0;126.0;10.9;      ;     ;     ;
-20.530; 0.200;  920.0;  250.0;252.0; 7.9;11.053;     ;     ;
-23.480; 0.260;20000.0; 2000.0;278.9; 4.8;12.067;     ;     ;
-20.470; 0.230;  295.0;   89.0;199.6; 3.0;11.304;     ;     ;
-21.060; 0.250; 1220.0;  480.0;163.2; 2.6;11.051;     ;     ;
-20.410; 0.200;  620.0;  410.0;190.8; 3.5;      ;     ;     ;
-23.470; 0.200;11000.0; 2000.0;400.8; 5.6;12.354;10.32; 0.25; 0.62
-20.160; 0.200;  160.0;  159.0;171.9; 5.8;10.607;     ;     ;
-21.010; 0.200;  650.0;  190.0;142.7; 5.8;10.903;     ;     ;
-20.860; 0.200;  470.0;  160.0;135.6; 3.9;10.999;     ;     ;
-21.390; 0.200; 1100.0;  510.0;217.1; 3.9;11.144;     ;     ;
-21.260; 0.200; 6700.0;  530.0;250.1; 5.1;11.851;     ;     ;
-22.360; 0.250; 1300.0;  300.0;275.8; 3.8;11.702;     ;     ;
-19.900; 0.200;   43.0;   27.0;     ;    ;      ;     ;     ;
-15.780; 0.200;    8.0;    3.0;     ;    ;      ;     ;     ;
       ;      ;30000.0;20000.0;     ;    ;      ;     ;     ;
-22.340; 0.400; 1000.0;  300.0;209.6; 4.9;11.199;     ;     ;
-13.890; 0.200;    4.0;    2.0;     ;    ;      ;     ;     ;
-18.140; 0.200;    7.0;    6.0; 82.0; 8.0; 9.810;     ;     ;
-11.170; 0.200;    1.0;    1.0;     ;    ;      ;     ;     ;
-21.260; 0.200; 1300.0;  300.0;150.0; 7.0;11.110; 7.71; 0.13; 0.19
-23.350; 0.200; 6000.0; 1500.0;317.6;12.1;11.972;     ;     ;
-23.800; 0.200;32500.0; 8000.0;251.9;13.2;12.248;     ;     ;
-20.800; 0.590;  500.0;  200.0; 90.2;10.1;10.677;     ;     ;
-21.160; 0.200;  220.0;   45.0; 96.0; 8.7;10.598; 0.00; 6.32; 0.00
-21.530; 0.330; 5878.0;  355.0;205.7; 6.2;11.219;     ;     ;
-23.080; 0.200; 6400.0;  300.0;322.0;16.0;12.014; 9.13; 0.06; 0.07
-21.000; 0.200;   43.0;   12.0;     ;    ;      ;     ;     ;
-15.450; 0.200;    3.0;    2.0;     ;    ;      ;     ;     ;
-13.690; 0.200;    3.0;    2.0;     ;    ;      ;     ;     ;
-24.100; 0.200;22500.0; 5500.0;322.6; 9.2;12.726;     ;     ;
-23.090; 0.350; 2970.0;  530.0;296.0; 6.0;12.202;     ;     ;
-22.290; 0.280; 1600.0;  500.0;232.0; 4.5;11.406;     ;     ;
-21.360; 0.220;  150.0;   40.0; 73.1;23.8;10.757;     ;     ;
-21.960; 0.500; 3500.0; 1000.0;253.0; 9.4;11.528;     ;     ;
-16.470; 0.200;    8.0;    3.0;     ;    ;      ;     ;     ;
-22.270; 0.230; 2900.0;  400.0;236.5; 3.4;11.667; 8.84; 0.07; 0.07
-19.770; 0.260;  180.0;   30.0;234.0;11.0;      ; 8.69; 0.12; 0.16
-22.120; 0.250; 4670.0; 1195.0;239.3; 4.3;11.605; 9.04; 0.07; 0.09
-21.080; 0.200;  370.0;   70.0;159.0; 9.8;10.850;     ;     ;
-17.470; 0.200;   10.0;    3.0;     ;    ;      ;     ;     ;
-20.300; 0.550;  170.0;   65.0;     ;    ;      ;     ;     ;
-23.100; 0.200;18000.0; 4500.0;215.8;11.6;11.155; 0.00; 9.69; 0.00
-22.020; 0.200; 1497.0;  202.0;238.9; 4.9;11.406;     ;     ;
-23.300; 0.400;27000.0;13000.0;295.2;14.3;12.478;     ;     ;
-23.500; 0.200;17900.0; 4700.0;303.5;15.0;11.887;     ;     ;
-23.080; 0.200;13100.0; 3300.0;277.7;16.5;12.224;     ;     ;
-23.000; 0.200;14000.0; 3500.0;277.7;16.5;12.225;     ;     ;
-22.000; 0.300;19800.0; 4900.0;     ;    ;      ;     ;     ;
-22.080; 0.240; 5030.0;  300.0;202.0;11.6;11.670;     ;     ;
-21.420; 0.200; 5100.0;  340.0;     ;    ;      ;     ;     ;
-22.600; 0.200; 7800.0; 2060.0;304.2;25.8;11.306;     ;     ;
-23.040; 0.220; 9200.0; 2500.0;334.4; 9.5;12.228; 9.56; 0.16; 0.16
-17.910; 0.500;    7.0;    3.0;     ;    ;      ;     ;     ;
-22.770; 1.000; 4560.0; 1080.0;251.2;10.6;      ;     ;     ;
-23.700; 0.270;17000.0; 4000.0;308.2; 6.9;12.424;     ;     ;
-23.410; 0.280; 4600.0; 2600.0;277.8;13.2;12.069;     ;     ;
-22.060; 0.420;   60.0;   13.0;128.3; 8.7;11.282;     ;     ;
-20.500; 1.000; 1600.0;  600.0;     ;    ;      ;     ;     ;
-22.630; 0.200; 1140.0;   87.0;309.8;11.7;      ;     ;     ;
-21.100; 0.440;  610.0;  200.0;178.5; 3.8;10.931;     ;     ;
-13.900; 0.500;    6.0;    2.0;     ;    ;      ;     ;     ;
-15.500; 0.300;    7.0;    1.0;     ;    ;      ;     ;     ;
-19.840; 0.360;   20.0;   10.0;     ;    ;      ;     ;     ;
-13.770; 0.200;    2.0;    2.0;     ;    ;      ;     ;     ;
-21.310; 0.530; 1860.0;  600.0;414.0;20.0;11.624; 0.00; 9.15; 0.00
-21.240; 0.330;   90.0;   40.0;     ;    ;      ;     ;     ;
-21.190; 0.200; 1634.0;   88.0;294.5; 9.1;11.652;     ;     ;
-21.890; 0.270; 2700.0;  800.0;246.5; 3.9;11.417;     ;     ;
-20.540; 0.330;  400.0;   30.0;203.9; 4.8;11.245;     ;     ;
-20.630; 0.200;  132.0;   25.0;     ;    ;      ;     ;     ;
-21.710; 0.200;  210.0;  130.0;137.2; 3.5;11.037; 0.00; 8.20; 0.00
-20.830; 0.250;  175.0;   15.0;124.9; 3.3;10.376; 7.11; 0.17; 0.21
-20.390; 0.250;   75.0;   10.0;     ;    ;      ;     ;     ;
-22.040; 0.200; 2100.0;  730.0;306.1; 7.8;11.635; 9.45; 0.14; 0.25
-19.580; 0.250;  160.0;   50.0; 67.0; 3.0; 9.935; 7.00; 0.20; 0.40
-22.510; 0.200; 2833.0;  300.0;271.3; 4.4;11.784; 0.00; 8.91; 0.00
-23.350; 0.350;18000.0; 4600.0;359.1;10.7;12.347;     ;     ;
-21.250; 0.200;  850.0;  320.0;196.1;15.6;11.427;     ;     ;
-23.070; 0.200; 3000.0; 1300.0;312.8;15.4;12.142; 9.11; 0.14; 0.16
-19.350; 0.200;   17.0;    5.0;     ;    ;      ;     ;     ;

